home_name,away_name,event_coord_x,event_coord_y,shot_type,shot_subtype,three_point_shot,points_scored
Bears,Sycamores,804.0,218.0,jump shot,,true,3.0
Bears,Shockers,956.0,277.0,jump shot,,false,2.0
Bears,Shockers,966.0,538.0,jump shot,,true,3.0
Bears,Shockers,74.0,334.0,layup,,false,2.0
Bears,Shockers,1026.0,255.0,layup,,false,2.0
Bears,Shockers,115.0,304.0,jump shot,,false,2.0
Bears,Shockers,880.0,63.0,jump shot,,true,3.0
Bears,Shockers,91.0,256.0,layup,,false,2.0
Bears,Shockers,772.0,147.0,jump shot,,true,3.0
Bears,Braves,945.0,295.0,jump shot,,false,2.0
Bears,Braves,1023.0,294.0,layup,,false,2.0
Bears,Braves,219.0,432.0,jump shot,,false,2.0
Bears,Braves,74.0,256.0,dunk,alley-oop,false,2.0
Bears,Braves,1038.0,202.0,jump shot,,false,2.0
Bears,Braves,999.0,296.0,jump shot,,false,2.0
Bears,Braves,78.0,324.0,layup,,false,2.0
Bears,Braves,175.0,122.0,jump shot,,false,2.0
Bears,Salukis,141.0,298.0,jump shot,,false,2.0
Bears,Salukis,84.0,321.0,layup,,false,2.0
Bears,Salukis,1011.0,552.0,jump shot,,true,3.0
Bears,Salukis,88.0,273.0,tip shot,,false,2.0
Bears,Salukis,254.0,495.0,jump shot,,true,3.0
Bears,Shockers,928.0,533.0,jump shot,,true,3.0
Bears,Shockers,92.0,318.0,layup,,false,2.0
Bears,Shockers,108.0,317.0,dunk,,false,2.0
Bears,Shockers,897.0,507.0,jump shot,,true,3.0
Bears,Shockers,116.0,348.0,jump shot,,false,2.0
Bears,Shockers,1006.0,32.0,jump shot,,true,3.0
Bears,Shockers,144.0,273.0,layup,,false,2.0
Bears,Gamecocks,1011.0,277.0,layup,,false,2.0
Bears,Gamecocks,990.0,304.0,jump shot,,false,2.0
Bears,Gamecocks,230.0,410.0,jump shot,,false,2.0
Bears,Gamecocks,91.0,290.0,layup,driving,false,2.0
Bears,Redhawks,244.0,188.0,jump shot,,false,2.0
Bears,Redhawks,766.0,379.0,jump shot,,true,3.0
Bears,Redhawks,1028.0,262.0,jump shot,,false,2.0
Bears,Redhawks,81.0,279.0,layup,putback,false,2.0
Bears,Redhawks,81.0,297.0,dunk,driving,false,2.0
Bears,Redbirds,1052.0,298.0,layup,reverse,false,2.0
Bears,Redbirds,1014.0,33.0,jump shot,,true,3.0
Bears,Redbirds,1042.0,311.0,layup,driving,false,2.0
Bears,Redbirds,985.0,545.0,jump shot,,true,3.0
Bears,Cowboys,1038.0,338.0,jump shot,,false,2.0
Bears,Cowboys,1054.0,322.0,layup,,false,2.0
Bears,Cowboys,1042.0,324.0,layup,,false,2.0
Bears,Cowboys,1013.0,349.0,jump shot,,false,2.0
Bears,Cowboys,1030.0,332.0,jump shot,,false,2.0
Bears,Cowboys,99.0,310.0,layup,,false,2.0
Bears,Cowboys,96.0,315.0,layup,,false,2.0
Bears,Cowboys,339.0,144.0,jump shot,,true,3.0
Bears,Cowboys,1040.0,321.0,dunk,,false,2.0
Bears,Cowboys,323.0,187.0,jump shot,,true,3.0
Bears,Tigers,294.0,132.0,jump shot,,true,3.0
Bears,Tigers,783.0,153.0,jump shot,,true,3.0
Bears,Tigers,212.0,204.0,jump shot,,false,2.0
Bears,Tigers,1057.0,274.0,layup,,false,2.0
Bears,Tigers,1034.0,557.0,jump shot,,true,3.0
Bears,Tigers,1031.0,324.0,layup,,false,2.0
Bears,Tigers,830.0,435.0,jump shot,,true,3.0
Bears,Tigers,1042.0,335.0,dunk,,false,2.0
Bears,Tigers,175.0,540.0,jump shot,,true,3.0
Bears,Aggies,879.0,78.0,jump shot,,true,3.0
Bears,Aggies,98.0,342.0,dunk,,false,2.0
Bears,Aggies,1028.0,301.0,layup,,false,2.0
Bears,Aggies,1023.0,263.0,layup,,false,2.0
Bears,Aggies,1042.0,299.0,layup,,false,2.0
Bears,Aggies,1037.0,289.0,dunk,,false,2.0
Bears,Aggies,91.0,302.0,layup,,false,2.0
Bears,Cyclones,971.0,94.0,jump shot,,false,2.0
Bears,Cyclones,129.0,260.0,layup,,false,2.0
Bears,Cyclones,863.0,104.0,jump shot,,true,3.0
Bears,Cyclones,966.0,267.0,jump shot,,false,2.0
Bears,Cyclones,1068.0,358.0,jump shot,,false,2.0
Bears,Cyclones,136.0,256.0,dunk,,false,2.0
Bears,Jaguars,1019.0,273.0,layup,,false,2.0
Bears,Jaguars,1006.0,252.0,layup,,false,2.0
Bears,Jaguars,986.0,35.0,jump shot,,true,3.0
Bears,Jaguars,118.0,38.0,jump shot,,true,3.0
Bears,Jaguars,1031.0,259.0,layup,,false,2.0
Bears,Jaguars,198.0,307.0,jump shot,,false,2.0
Bears,Aggies,1016.0,32.0,jump shot,,true,3.0
Bears,Aggies,94.0,284.0,layup,,false,2.0
Bears,Aggies,95.0,286.0,layup,,false,2.0
Bears,Aggies,1040.0,284.0,layup,,false,2.0
Bears,Aggies,1051.0,307.0,layup,,false,2.0
Bears,Aggies,149.0,280.0,layup,,false,2.0
Bears,Cowboys,78.0,358.0,layup,,false,2.0
Bears,Cowboys,901.0,270.0,jump shot,,false,2.0
Bears,Cowboys,1040.0,369.0,layup,,false,2.0
Bears,Cowboys,979.0,259.0,jump shot,,false,2.0
Bears,Cowboys,299.0,461.0,jump shot,,true,3.0
Bears,Cowboys,938.0,290.0,jump shot,,false,2.0
Bears,Cowboys,101.0,238.0,layup,,false,2.0
Bears,Cowboys,233.0,198.0,jump shot,,false,2.0
Bears,Cowboys,126.0,307.0,layup,,false,2.0
Bears,Cowboys,352.0,304.0,jump shot,,true,3.0
Bears,Cowboys,906.0,190.0,jump shot,,false,2.0
Bears,Cowboys,219.0,267.0,jump shot,,false,2.0
Bears,Cowboys,149.0,239.0,layup,,false,2.0
Bears,Cowboys,933.0,181.0,jump shot,,false,2.0
Bears,Cowboys,187.0,305.0,layup,,false,2.0
Bears,Cowboys,175.0,283.0,layup,,false,2.0
Bears,Rams,433.0,363.0,jump shot,,true,3.0
Bears,Rams,55.0,486.0,jump shot,,false,2.0
Bears,Rams,1024.0,266.0,layup,,false,2.0
Bears,Rams,789.0,291.0,jump shot,,true,3.0
Bears,Rams,115.0,297.0,layup,,false,2.0
Bears,Rams,1020.0,259.0,layup,,false,2.0
Bears,Rams,1027.0,352.0,layup,,false,2.0
Bears,Sooners,830.0,455.0,jump shot,,true,3.0
Bears,Sooners,333.0,379.0,jump shot,,true,3.0
Bears,Sooners,63.0,318.0,layup,,false,2.0
Bears,Sooners,845.0,125.0,jump shot,,true,3.0
Bears,Wildcats,51.0,555.0,jump shot,,true,3.0
Bears,Wildcats,88.0,270.0,layup,,false,2.0
Bears,Wildcats,84.0,464.0,jump shot,,false,2.0
Bears,Wildcats,91.0,260.0,layup,,false,2.0
Bears,Wildcats,96.0,277.0,layup,,false,2.0
Bears,Wildcats,1023.0,315.0,dunk,,false,2.0
Bears,Wildcats,106.0,291.0,layup,,false,2.0
Bears,Longhorns,102.0,291.0,layup,,false,2.0
Bears,Longhorns,273.0,105.0,jump shot,,true,3.0
Bears,Longhorns,880.0,520.0,jump shot,,true,3.0
Bears,Longhorns,1041.0,297.0,dunk,,false,2.0
Bears,Longhorns,229.0,286.0,jump shot,,false,2.0
Bears,Longhorns,876.0,75.0,jump shot,,true,3.0
Bears,Longhorns,918.0,296.0,jump shot,,false,2.0
Bears,Longhorns,229.0,242.0,jump shot,,false,2.0
Bears,Longhorns,103.0,290.0,dunk,,false,2.0
Bears,Longhorns,1023.0,304.0,layup,,false,2.0
Bears,Jayhawks,879.0,82.0,jump shot,,true,3.0
Bears,Horned Frogs,75.0,325.0,layup,,false,2.0
Bears,Horned Frogs,226.0,305.0,jump shot,,false,2.0
Bears,Horned Frogs,99.0,249.0,layup,,false,2.0
Bears,Horned Frogs,780.0,192.0,jump shot,,true,3.0
Bears,Horned Frogs,129.0,301.0,jump shot,,false,2.0
Bears,Horned Frogs,88.0,490.0,jump shot,,false,2.0
Bears,Horned Frogs,992.0,218.0,jump shot,,false,2.0
Bears,Spartans,352.0,283.0,jump shot,,true,3.0
Bears,Spartans,1047.0,375.0,jump shot,,false,2.0
Bears,Spartans,1016.0,239.0,jump shot,,false,2.0
Bears,Spartans,1065.0,34.0,jump shot,,true,3.0
Bears,Spartans,68.0,557.0,jump shot,,true,3.0
Bears,Spartans,212.0,543.0,jump shot,,true,3.0
Bears,Mountaineers,839.0,91.0,jump shot,,true,3.0
Bears,Mountaineers,1048.0,321.0,layup,,false,2.0
Bears,Mountaineers,1051.0,318.0,dunk,,false,2.0
Bears,Panthers,1038.0,331.0,layup,,false,2.0
Bears,Panthers,105.0,277.0,layup,,false,2.0
Bears,Red Raiders,240.0,297.0,jump shot,,false,2.0
Bears,Red Raiders,1055.0,329.0,layup,,false,2.0
Bears,Red Raiders,85.0,255.0,layup,,false,2.0
Bears,Red Raiders,134.0,284.0,jump shot,,false,2.0
Bears,Red Raiders,85.0,259.0,layup,,false,2.0
Bears,Red Raiders,109.0,346.0,jump shot,,false,2.0
Bears,Red Raiders,962.0,382.0,jump shot,,false,2.0
Bears,Red Raiders,870.0,496.0,jump shot,,true,3.0
Bears,Red Raiders,1045.0,339.0,layup,,false,2.0
Bears,Red Raiders,1047.0,334.0,layup,,false,2.0
Bears,Red Raiders,801.0,390.0,jump shot,,true,3.0
Bears,Lumberjacks,1042.0,372.0,jump shot,,false,2.0
Bears,Lumberjacks,1020.0,279.0,layup,,false,2.0
Bears,Lumberjacks,1020.0,348.0,layup,,false,2.0
Bears,Sooners,87.0,270.0,layup,,false,2.0
Bears,Sooners,123.0,257.0,jump shot,,false,2.0
Bears,Sooners,935.0,303.0,jump shot,,false,2.0
Bears,Mountaineers,1042.0,303.0,layup,,false,2.0
Bears,Mountaineers,1017.0,273.0,dunk,,false,2.0
Bears,Mountaineers,110.0,290.0,jump shot,,false,2.0
Bears,Mountaineers,1061.0,311.0,dunk,,false,2.0
Bears,Mountaineers,971.0,201.0,jump shot,,false,2.0
Bears,Mountaineers,79.0,274.0,layup,,false,2.0
Bears,Horned Frogs,71.0,315.0,layup,,false,2.0
Bears,Horned Frogs,228.0,192.0,jump shot,,false,2.0
Bears,Horned Frogs,109.0,241.0,jump shot,,false,2.0
Bears,Horned Frogs,1055.0,287.0,layup,,false,2.0
Bears,Horned Frogs,284.0,454.0,jump shot,,true,3.0
Bears,Horned Frogs,906.0,519.0,jump shot,,true,3.0
Bears,Horned Frogs,1040.0,197.0,jump shot,,false,2.0
Bears,Bulldogs,982.0,314.0,jump shot,,false,2.0
Bears,Bulldogs,133.0,194.0,jump shot,,false,2.0
Bears,Bulldogs,99.0,353.0,layup,,false,2.0
Bears,Bulldogs,95.0,574.0,jump shot,,true,3.0
Bears,Bulldogs,755.0,275.0,jump shot,,true,3.0
Bears,Cyclones,893.0,320.0,jump shot,,false,2.0
Bears,Cyclones,1042.0,281.0,layup,,false,2.0
Bears,Cyclones,786.0,198.0,jump shot,,true,3.0
Bears,Cyclones,132.0,263.0,jump shot,,false,2.0
Bears,Cyclones,1024.0,293.0,layup,,false,2.0
Bears,Cyclones,82.0,281.0,layup,,false,2.0
Bears,Cyclones,340.0,235.0,jump shot,,true,3.0
Bears,Jayhawks,944.0,290.0,jump shot,,false,2.0
Bears,Jayhawks,1051.0,237.0,layup,,false,2.0
Bears,Jayhawks,1038.0,255.0,layup,,false,2.0
Bears,Jayhawks,316.0,376.0,jump shot,,true,3.0
Bears,Jayhawks,70.0,254.0,layup,,false,2.0
Bears,Jayhawks,1051.0,249.0,layup,,false,2.0
Bears,Demons,84.0,335.0,layup,,false,2.0
Bears,Demons,1031.0,276.0,jump shot,,false,2.0
Bears,Demons,985.0,308.0,jump shot,,false,2.0
Bears,Demons,1030.0,236.0,dunk,,false,2.0
Bears,Demons,181.0,224.0,jump shot,,false,2.0
Bears,Demons,99.0,312.0,layup,,false,2.0
Bears,Demons,246.0,298.0,jump shot,,false,2.0
Bears,Demons,95.0,267.0,layup,,false,2.0
Bears,Demons,79.0,248.0,layup,,false,2.0
Bears,Cowboys,1065.0,283.0,layup,,false,2.0
Bears,Cowboys,935.0,352.0,jump shot,,false,2.0
Bears,Cowboys,911.0,58.0,jump shot,,true,3.0
